# lon; lat; id; type

68.86618;34.39561;1456960;3
70.70778;34.12583;1469706;1
67.34516;34.26545;6692413;3
-61.85;17.11667;3576022;1
-63.05783;18.21704;3573374;2
20.00528;39.87556;363243;1
20.01917;40.29583;781443;3
20.09806;40.61222;781979;2
20.42889;41.685;782061;1
20.35167;40.23361;782070;1
20.42194;42.07694;782661;2
20.78083;40.61861;782756;1
20.18444;40.86972;783059;2
20.13889;40.07583;783148;3
20.67889;40.33778;783259;1
20.08222;41.1125;783263;3
20.22722;40.50417;783408;2
20.00889;41.61028;783493;2
20.22194;41.49167;783508;3
20.99;40.6275;783606;2
20.33556;41.19694;832209;2
19.48972;40.46667;3183719;1
19.81889;41.3275;3183875;1
19.51258;42.06828;3184081;3
19.56722;41.34556;3184099;3
19.63583;40.53056;3184197;3
19.66528;41.07639;3184252;1
19.87556;41.7675;3184264;3
19.70222;40.7375;3184290;2
19.89972;42.04444;3184388;2
19.75111;41.04611;3184497;1
19.65083;40.64278;3184517;2
19.69222;41.5775;3184806;2
19.705;40.94194;3184862;1
19.64361;41.78361;3184935;3
19.71306;41.63556;3185012;1
19.91667;40.80028;3185060;2
19.79278;41.50917;3185082;1
19.55694;41.18556;3185211;2
19.76028;41.38167;3185270;1
19.71778;41.47833;3185638;3
19.56667;40.71667;3185670;3
19.55611;40.72389;3185672;3
19.44139;41.32306;3185728;3
19.97583;41.03167;3185897;3
19.95222;40.70583;3186084;2
19.73472;40.59889;3186145;1
45.33239;39.76389;174710;3
44.72217;39.91421;174725;2
45.46653;39.691;174726;3
46.40576;39.20754;174875;1
46.33816;39.51288;174895;2
45.97047;39.46405;174972;2
44.54447;39.96144;174979;2
44.70489;39.83166;174991;1
44.51361;40.18111;616052;3
44.29462;40.16557;616062;1
44.48138;40.32053;616065;3
45.7311;40.18272;616108;1
45.43342;40.13928;616109;3
44.28462;41.12072;616178;1
44.2673;40.8322;616199;3
44.94868;40.5484;616250;3
45.13059;40.29053;616255;3
44.00969;40.13206;616328;3
44.99917;41.17244;616333;3
45.17718;40.37547;616361;3
45.279;40.14046;616375;2
44.28962;40.07302;616417;3
44.43591;40.06762;616435;3
45.3045;40.13768;616438;1
44.4939;40.80456;616530;1
45.28972;40.10444;616576;3
45.12386;40.35398;616599;3
45.14922;40.87832;616627;3
44.7662;40.49748;616629;2
44.03815;40.15446;616631;2
43.84528;40.7942;616635;1
44.73442;40.11931;616697;1
44.86362;40.74103;616752;2
45.35498;40.59655;616786;2
44.59396;40.31485;616790;1
45.38985;40.88149;616802;1
44.36204;40.2991;616877;3
44.05363;40.08658;616902;1
44.3589;40.59323;616953;3
44.67316;41.09766;616974;1
43.90027;40.78003;616989;3
44.62656;40.26741;617026;1
20.39155;-9.66078;145531;1
20.74466;-8.41915;145724;1
22.22466;-10.70727;876177;3
20.45;-11.65;876233;3
15.06131;-7.60874;2236568;3
12.36894;-6.1349;2236967;1
12.8666;-7.23116;2239001;3
14.91162;-9.29782;2239076;3
14.2401;-6.26703;2239520;3
16.34096;-9.54015;2239862;1
13.23432;-8.83682;2240449;1
13.66425;-8.57848;2242001;2
15.37495;-8.18812;2242885;3
12.2;-5.55;2243271;3
15.12078;-11.36343;3345497;3
13.84371;-11.20605;3346015;3
14.97995;-10.73366;3346598;1
15.73333;-17.06667;3346821;2
12.15222;-15.19611;3347019;3
17.69099;-14.6585;3347353;3
19.91667;-11.78333;3347719;2
13.4925;-14.91717;3347762;1
15.25333;-12.90667;3347853;3
13.54556;-12.34806;3347939;3
16.93333;-12.38333;3348078;3
15.73917;-12.77611;3348313;1
17.33333;-12.16667;3349580;3
13.54722;-12.43139;3350246;3
17.28333;-12.15;3350372;1
17.48333;-12.01667;3351014;2
14.68333;-13.78333;3351024;3
15.06667;-13.73333;3351380;3
15.56056;-12.8525;3351500;3
13.40547;-12.57626;3351663;1
